# Accelerometer Data File
# Started @Sun Jul 17 23:10:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.804 4.405 7.307 19
-0.957 4.577 7.498 20
-1.13 4.912 7.747 20
-0.737 5.104 8.513 20
-0.124 5.209 9.567 20
0.804 5.295 10.735 20
1.57 5.363 11.224 20
1.388 5.688 10.802 20
0.689 6.129 9.768 20
0.641 6.272 9.212 20
1.168 5.889 8.858 20
1.331 5.774 8.609 20
1.407 5.554 8.082 20
1.321 5.42 7.795 20
1.225 5.209 7.948 20
1.091 4.941 8.475 20
0.861 4.73 8.236 20
0.497 4.817 7.584 20
0.373 4.874 7.096 20
0.641 4.941 6.962 20
1.015 4.817 7.067 20
1.235 4.769 7.173 20
1.273 4.75 6.866 20
1.043 4.893 6.349 20
0.881 5.066 6.062 20
0.584 5.343 5.899 20
0.316 5.784 5.937 20
0.057 6.291 6.301 20
-0.076 6.598 7.096 20
-0.268 6.943 7.747 20
-0.268 6.943 8.063 21
-0.134 7.144 8.063 19
0.047 7.297 8.437 20
0.095 7.68 9.337 20
0.517 7.728 10.314 20
1.063 7.345 10.687 20
0.612 7.077 10.457 20
-0.45 6.904 9.998 20
-1.331 6.713 9.222 20
-1.79 6.531 8.667 20
-1.608 6.09 8.552 20
-1.063 5.372 8.762 20
-0.842 4.807 8.647 20
-1.235 4.826 7.852 20
-1.493 5.209 7.0 20
-1.254 5.19 6.464 20
-0.919 5.161 6.234 20
-0.852 4.989 6.071 20
-0.89 4.788 5.573 20
-1.015 4.73 5.114 21
-0.995 4.702 5.142 19
-0.909 4.596 5.612 20
-0.957 4.74 5.889 20
-1.11 4.778 6.1 20
-1.379 4.96 6.588 20
-1.561 5.104 7.45 20
-1.589 5.41 8.188 20
-0.986 5.477 8.877 20
0.44 5.449 10.352 20
1.13 5.707 11.348 20
0.536 6.186 10.955 20
-0.497 6.416 10.17 20
-1.235 6.358 9.423 20
-1.254 6.014 8.801 20
-0.928 5.698 8.073 20
-0.814 5.506 7.584 20
-0.44 5.257 7.833 20
0.45 4.865 8.35 21
0.775 4.721 8.791 19
0.66 4.654 8.628 20
0.21 4.683 8.111 20
-0.162 5.085 7.546 20
-0.076 5.612 7.297 40
0.354 5.717 7.354 20
0.478 5.717 7.891 20
0.268 5.602 7.967 20
-0.153 5.822 7.632 20
-0.143 5.928 6.933 20
0.124 5.947 6.397 20
0.402 5.774 6.33 21
0.497 5.746 6.416 19
0.363 5.592 6.627 20
-0.038 5.841 6.742 20
-0.201 6.138 6.531 20
-0.296 6.521 6.627 20
-0.229 6.684 7.201 20
-0.45 6.866 7.498 20
-0.45 6.981 7.354 20
-0.258 7.048 7.623 20
-0.497 7.192 8.312 20
-0.919 7.182 8.647 20
-1.513 6.952 8.686 20
-1.771 6.675 9.021 20
-1.321 6.282 9.576 20
-0.651 5.612 9.423 20
-1.13 5.516 8.954 20
-1.474 5.123 8.523 20
-0.919 4.941 8.532 20
